Interval,GMTIntervalEnd,STLF,MTLF,Actual Load,STWF,MTWF,Actual Wind, STSF, MTSF, Actual Solar
02/21/2023 17:10:00,02/21/2023 23:10:00,,,,,,,,,
02/21/2023 17:05:00,02/21/2023 23:05:00,,,,,,,,,
02/21/2023 17:00:00,02/21/2023 23:00:00,,30054.086,,,22169.050,,,89.670,
02/21/2023 16:55:00,02/21/2023 22:55:00,,,,,,,,,
02/21/2023 16:50:00,02/21/2023 22:50:00,,,,,,,,,
02/21/2023 16:45:00,02/21/2023 22:45:00,,,,,,,,,
02/21/2023 16:40:00,02/21/2023 22:40:00,,,,,,,,,
02/21/2023 16:35:00,02/21/2023 22:35:00,,,,,,,,,
02/21/2023 16:30:00,02/21/2023 22:30:00,,,,,,,,,
02/21/2023 16:25:00,02/21/2023 22:25:00,,,,,,,,,
02/21/2023 16:20:00,02/21/2023 22:20:00,,,,,,,,,
02/21/2023 16:15:00,02/21/2023 22:15:00,,,,,,,,,
02/21/2023 16:10:00,02/21/2023 22:10:00,,,,,,,,,
02/21/2023 16:05:00,02/21/2023 22:05:00,,,,,,,,,
02/21/2023 16:00:00,02/21/2023 22:00:00,,29876.540,,,20869.920,,,108.990,
02/21/2023 15:55:00,02/21/2023 21:55:00,,,,,,,,,
02/21/2023 15:50:00,02/21/2023 21:50:00,,,,,,,,,
02/21/2023 15:45:00,02/21/2023 21:45:00,,,,,,,,,
02/21/2023 15:40:00,02/21/2023 21:40:00,,,,,,,,,
02/21/2023 15:35:00,02/21/2023 21:35:00,,,,,,,,,
02/21/2023 15:30:00,02/21/2023 21:30:00,,,,,,,,,
02/21/2023 15:25:00,02/21/2023 21:25:00,,,,,,,,,
02/21/2023 15:20:00,02/21/2023 21:20:00,,,,,,,,,
02/21/2023 15:15:00,02/21/2023 21:15:00,,,,,,,,,
02/21/2023 15:10:00,02/21/2023 21:10:00,,,,,,,,,
02/21/2023 15:05:00,02/21/2023 21:05:00,,,,,,,,,
02/21/2023 15:00:00,02/21/2023 21:00:00,,30056.347,,,19630.720,,,123.430,
02/21/2023 14:55:00,02/21/2023 20:55:00,,,,,,,,,
02/21/2023 14:50:00,02/21/2023 20:50:00,,,,,,,,,
02/21/2023 14:45:00,02/21/2023 20:45:00,,,,,,,,,
02/21/2023 14:40:00,02/21/2023 20:40:00,,,,,,,,,
02/21/2023 14:35:00,02/21/2023 20:35:00,,,,,,,,,
02/21/2023 14:30:00,02/21/2023 20:30:00,,,,,,,,,
02/21/2023 14:25:00,02/21/2023 20:25:00,,,,,,,,,
02/21/2023 14:20:00,02/21/2023 20:20:00,,,,,,,,,
02/21/2023 14:15:00,02/21/2023 20:15:00,,,,,,,,,
02/21/2023 14:10:00,02/21/2023 20:10:00,,,,,,,,,
02/21/2023 14:05:00,02/21/2023 20:05:00,,,,,,,,,
02/21/2023 14:00:00,02/21/2023 20:00:00,,30359.285,,,18441.920,,,138.180,
02/21/2023 13:55:00,02/21/2023 19:55:00,,,,,,,,,
02/21/2023 13:50:00,02/21/2023 19:50:00,,,,,,,,,
02/21/2023 13:45:00,02/21/2023 19:45:00,,,,,,,,,
02/21/2023 13:40:00,02/21/2023 19:40:00,,,,,,,,,
02/21/2023 13:35:00,02/21/2023 19:35:00,,,,,,,,,
02/21/2023 13:30:00,02/21/2023 19:30:00,,,,,,,,,
02/21/2023 13:25:00,02/21/2023 19:25:00,,,,,,,,,
02/21/2023 13:20:00,02/21/2023 19:20:00,,,,,,,,,
02/21/2023 13:15:00,02/21/2023 19:15:00,,,,,,,,,
02/21/2023 13:10:00,02/21/2023 19:10:00,,,,,,,,,
02/21/2023 13:05:00,02/21/2023 19:05:00,,,,,,,,,
02/21/2023 13:00:00,02/21/2023 19:00:00,,30689.366,,,17189.420,,,143.660,
