"","plant_id","generator_id","plant_name","ba_code","plant_state","reported_prime_mover","month","ActualGenerationMW","ces_unit_id","npcc_full_name","type","region","zone","fuel_state","installation_date","retirement_date","summer_capacity_mw","winter_capacity_mw","full_load_heat_rate_btu_kwh","s_ox_rate_lbs_mm_btu","n_ox_rate_lbs_mm_btu","min_downtime_hrs","min_uptime_hrs","for_percent","por_percent","quick_start_percent","spin_capability_percent","fuel_name","iso_q_id","SummerMonthlyCapacity","WinterMonthlyCapacity","capacity_factor_gap","max_capacity"
"31","108","1","Holcomb","SWPP","KS","ST","January",183443,5503,"Holcomb","STc+1","South West","SPP","KS",1983-08-01,2101-01-01,360,360,10037,0.1235,0.302843359,12,24,5,8.09,0,0.1,"HOLC_C",NA,267840,267840,0.684897700119474,267840
"32","108","1","Holcomb","SWPP","KS","ST","February",140201,5503,"Holcomb","STc+1","South West","SPP","KS",1983-08-01,2101-01-01,360,360,10037,0.1235,0.302843359,12,24,5,8.09,0,0.1,"HOLC_C",NA,267840,267840,0.523450567502987,267840
"33","108","1","Holcomb","SWPP","KS","ST","March",135779,5503,"Holcomb","STc+1","South West","SPP","KS",1983-08-01,2101-01-01,360,360,10037,0.1235,0.302843359,12,24,5,8.09,0,0.1,"HOLC_C",NA,267840,267840,0.506940710872163,267840
"34","108","1","Holcomb","SWPP","KS","ST","April",26530,5503,"Holcomb","STc+1","South West","SPP","KS",1983-08-01,2101-01-01,360,360,10037,0.1235,0.302843359,12,24,5,8.09,0,0.1,"HOLC_C",NA,267840,267840,0.0990516726403823,267840
"35","108","1","Holcomb","SWPP","KS","ST","May",37227,5503,"Holcomb","STc+1","South West","SPP","KS",1983-08-01,2101-01-01,360,360,10037,0.1235,0.302843359,12,24,5,8.09,0,0.1,"HOLC_C",NA,267840,267840,0.138989695340502,267840
"36","108","1","Holcomb","SWPP","KS","ST","June",141484,5503,"Holcomb","STc+1","South West","SPP","KS",1983-08-01,2101-01-01,360,360,10037,0.1235,0.302843359,12,24,5,8.09,0,0.1,"HOLC_C",NA,267840,267840,0.528240740740741,267840
"37","108","1","Holcomb","SWPP","KS","ST","July",216127,5503,"Holcomb","STc+1","South West","SPP","KS",1983-08-01,2101-01-01,360,360,10037,0.1235,0.302843359,12,24,5,8.09,0,0.1,"HOLC_C",NA,267840,267840,0.806925776583035,267840
"38","108","1","Holcomb","SWPP","KS","ST","August",228716,5503,"Holcomb","STc+1","South West","SPP","KS",1983-08-01,2101-01-01,360,360,10037,0.1235,0.302843359,12,24,5,8.09,0,0.1,"HOLC_C",NA,267840,267840,0.853927718040621,267840
"39","108","1","Holcomb","SWPP","KS","ST","September",176150,5503,"Holcomb","STc+1","South West","SPP","KS",1983-08-01,2101-01-01,360,360,10037,0.1235,0.302843359,12,24,5,8.09,0,0.1,"HOLC_C",NA,267840,267840,0.657668757467145,267840
"40","108","1","Holcomb","SWPP","KS","ST","October",198333,5503,"Holcomb","STc+1","South West","SPP","KS",1983-08-01,2101-01-01,360,360,10037,0.1235,0.302843359,12,24,5,8.09,0,0.1,"HOLC_C",NA,267840,267840,0.740490591397849,267840
"41","1239","12","Riverton","SWPP","KS","CT","January",91527,7689,"Riverton 12","NGT","South West","SPP","KS",2007-06-01,2016-05-31,150,192,10000,0.001,0.034,1,1,6.23,6.43,1,0,"NG_KSL_N",NA,111600,142848,0.64073000672043,142848
"42","1239","12","Riverton","SWPP","KS","CT","February",90482,7689,"Riverton 12","NGT","South West","SPP","KS",2007-06-01,2016-05-31,150,192,10000,0.001,0.034,1,1,6.23,6.43,1,0,"NG_KSL_N",NA,111600,142848,0.633414538530466,142848
"43","1239","12","Riverton","SWPP","KS","CT","March",80450,7689,"Riverton 12","NGT","South West","SPP","KS",2007-06-01,2016-05-31,150,192,10000,0.001,0.034,1,1,6.23,6.43,1,0,"NG_KSL_N",NA,111600,142848,0.720878136200717,111600
"44","1239","12","Riverton","SWPP","KS","CT","April",46785,7689,"Riverton 12","NGT","South West","SPP","KS",2007-06-01,2016-05-31,150,192,10000,0.001,0.034,1,1,6.23,6.43,1,0,"NG_KSL_N",NA,111600,142848,0.419220430107527,111600
"45","1239","12","Riverton","SWPP","KS","CT","May",71216,7689,"Riverton 12","NGT","South West","SPP","KS",2007-06-01,2016-05-31,150,192,10000,0.001,0.034,1,1,6.23,6.43,1,0,"NG_KSL_N",NA,111600,142848,0.638136200716846,111600
"46","1239","12","Riverton","SWPP","KS","CT","June",80508,7689,"Riverton 12","NGT","South West","SPP","KS",2007-06-01,2016-05-31,150,192,10000,0.001,0.034,1,1,6.23,6.43,1,0,"NG_KSL_N",NA,111600,142848,0.721397849462366,111600
"47","1239","12","Riverton","SWPP","KS","CT","July",94639,7689,"Riverton 12","NGT","South West","SPP","KS",2007-06-01,2016-05-31,150,192,10000,0.001,0.034,1,1,6.23,6.43,1,0,"NG_KSL_N",NA,111600,142848,0.848019713261649,111600
"48","1239","12","Riverton","SWPP","KS","CT","August",92746,7689,"Riverton 12","NGT","South West","SPP","KS",2007-06-01,2016-05-31,150,192,10000,0.001,0.034,1,1,6.23,6.43,1,0,"NG_KSL_N",NA,111600,142848,0.831057347670251,111600
"49","1239","12","Riverton","SWPP","KS","CT","September",100352,7689,"Riverton 12","NGT","South West","SPP","KS",2007-06-01,2016-05-31,150,192,10000,0.001,0.034,1,1,6.23,6.43,1,0,"NG_KSL_N",NA,111600,142848,0.89921146953405,111600
"50","1239","12","Riverton","SWPP","KS","CT","October",61236,7689,"Riverton 12","NGT","South West","SPP","KS",2007-06-01,2016-05-31,150,192,10000,0.001,0.034,1,1,6.23,6.43,1,0,"NG_KSL_N",NA,111600,142848,0.548709677419355,111600
"51","1241","1","La Cygne","SWPP","KS","ST","January",242938,5839,"Lacygne 1","STc+","South West","SPP","KS",1973-06-01,2032-12-01,745,750,10722,0.1763,0.099947899,12,24,5,8.09,0,0.1,"LA CYG_C",NA,554280,558000,0.435372759856631,558000
"52","1241","1","La Cygne","SWPP","KS","ST","February",276957,5839,"Lacygne 1","STc+","South West","SPP","KS",1973-06-01,2032-12-01,745,750,10722,0.1763,0.099947899,12,24,5,8.09,0,0.1,"LA CYG_C",NA,554280,558000,0.496338709677419,558000
"53","1241","1","La Cygne","SWPP","KS","ST","March",295634,5839,"Lacygne 1","STc+","South West","SPP","KS",1973-06-01,2032-12-01,745,750,10722,0.1763,0.099947899,12,24,5,8.09,0,0.1,"LA CYG_C",NA,554280,558000,0.533365807894927,554280
"54","1241","1","La Cygne","SWPP","KS","ST","April",180049,5839,"Lacygne 1","STc+","South West","SPP","KS",1973-06-01,2032-12-01,745,750,10722,0.1763,0.099947899,12,24,5,8.09,0,0.1,"LA CYG_C",NA,554280,558000,0.324834018907411,554280
"55","1241","1","La Cygne","SWPP","KS","ST","May",360636,5839,"Lacygne 1","STc+","South West","SPP","KS",1973-06-01,2032-12-01,745,750,10722,0.1763,0.099947899,12,24,5,8.09,0,0.1,"LA CYG_C",NA,554280,558000,0.650638666378004,554280
"56","1241","1","La Cygne","SWPP","KS","ST","June",428366,5839,"Lacygne 1","STc+","South West","SPP","KS",1973-06-01,2032-12-01,745,750,10722,0.1763,0.099947899,12,24,5,8.09,0,0.1,"LA CYG_C",NA,554280,558000,0.772833225084795,554280
"57","1241","1","La Cygne","SWPP","KS","ST","July",500293,5839,"Lacygne 1","STc+","South West","SPP","KS",1973-06-01,2032-12-01,745,750,10722,0.1763,0.099947899,12,24,5,8.09,0,0.1,"LA CYG_C",NA,554280,558000,0.902599769069784,554280
"58","1241","1","La Cygne","SWPP","KS","ST","August",326413,5839,"Lacygne 1","STc+","South West","SPP","KS",1973-06-01,2032-12-01,745,750,10722,0.1763,0.099947899,12,24,5,8.09,0,0.1,"LA CYG_C",NA,554280,558000,0.588895504077362,554280
"59","1241","1","La Cygne","SWPP","KS","ST","September",340851,5839,"Lacygne 1","STc+","South West","SPP","KS",1973-06-01,2032-12-01,745,750,10722,0.1763,0.099947899,12,24,5,8.09,0,0.1,"LA CYG_C",NA,554280,558000,0.614943710759905,554280
"60","1241","1","La Cygne","SWPP","KS","ST","October",28453,5839,"Lacygne 1","STc+","South West","SPP","KS",1973-06-01,2032-12-01,745,750,10722,0.1763,0.099947899,12,24,5,8.09,0,0.1,"LA CYG_C",NA,554280,558000,0.0513332611676409,554280
"61","1241","2","La Cygne","SWPP","KS","ST","January",354313,5840,"Lacygne 2","STc+","South West","SPP","KS",1977-05-01,2039-01-01,674,674,10760,0.6483,0.288708021,12,24,5,8.09,0,0.1,"LA CYG_C",NA,501456,501456,0.706568472607766,501456
"62","1241","2","La Cygne","SWPP","KS","ST","February",350189,5840,"Lacygne 2","STc+","South West","SPP","KS",1977-05-01,2039-01-01,674,674,10760,0.6483,0.288708021,12,24,5,8.09,0,0.1,"LA CYG_C",NA,501456,501456,0.698344421045914,501456
"63","1241","2","La Cygne","SWPP","KS","ST","March",182089,5840,"Lacygne 2","STc+","South West","SPP","KS",1977-05-01,2039-01-01,674,674,10760,0.6483,0.288708021,12,24,5,8.09,0,0.1,"LA CYG_C",NA,501456,501456,0.363120592833668,501456
"64","1241","2","La Cygne","SWPP","KS","ST","April",0,5840,"Lacygne 2","STc+","South West","SPP","KS",1977-05-01,2039-01-01,674,674,10760,0.6483,0.288708021,12,24,5,8.09,0,0.1,"LA CYG_C",NA,501456,501456,0,501456
"65","1241","2","La Cygne","SWPP","KS","ST","May",29010,5840,"Lacygne 2","STc+","South West","SPP","KS",1977-05-01,2039-01-01,674,674,10760,0.6483,0.288708021,12,24,5,8.09,0,0.1,"LA CYG_C",NA,501456,501456,0.0578515363262181,501456
"66","1241","2","La Cygne","SWPP","KS","ST","June",282310,5840,"Lacygne 2","STc+","South West","SPP","KS",1977-05-01,2039-01-01,674,674,10760,0.6483,0.288708021,12,24,5,8.09,0,0.1,"LA CYG_C",NA,501456,501456,0.562980600491369,501456
"67","1241","2","La Cygne","SWPP","KS","ST","July",350948,5840,"Lacygne 2","STc+","South West","SPP","KS",1977-05-01,2039-01-01,674,674,10760,0.6483,0.288708021,12,24,5,8.09,0,0.1,"LA CYG_C",NA,501456,501456,0.69985801346479,501456
"68","1241","2","La Cygne","SWPP","KS","ST","August",440102,5840,"Lacygne 2","STc+","South West","SPP","KS",1977-05-01,2039-01-01,674,674,10760,0.6483,0.288708021,12,24,5,8.09,0,0.1,"LA CYG_C",NA,501456,501456,0.877648288184806,501456
"69","1241","2","La Cygne","SWPP","KS","ST","September",349548,5840,"Lacygne 2","STc+","South West","SPP","KS",1977-05-01,2039-01-01,674,674,10760,0.6483,0.288708021,12,24,5,8.09,0,0.1,"LA CYG_C",NA,501456,501456,0.697066143390447,501456
"70","1241","2","La Cygne","SWPP","KS","ST","October",420227,5840,"Lacygne 2","STc+","South West","SPP","KS",1977-05-01,2039-01-01,674,674,10760,0.6483,0.288708021,12,24,5,8.09,0,0.1,"LA CYG_C",NA,501456,501456,0.838013704093679,501456
"71","1250","4","Lawrence Energy Center","SWPP","KS","ST","January",33776,5936,"Lawrence EC 4","STc200","South West","SPP","KS",1960-01-01,2024-12-01,109,109,11000,0.0578,0.337441387,7,8,5,7.41,0,0.1,"LAWRENC_C",NA,81096,81096,0.416494031764822,81096
"72","1250","4","Lawrence Energy Center","SWPP","KS","ST","February",31594,5936,"Lawrence EC 4","STc200","South West","SPP","KS",1960-01-01,2024-12-01,109,109,11000,0.0578,0.337441387,7,8,5,7.41,0,0.1,"LAWRENC_C",NA,81096,81096,0.389587649205879,81096
"73","1250","4","Lawrence Energy Center","SWPP","KS","ST","March",35002,5936,"Lawrence EC 4","STc200","South West","SPP","KS",1960-01-01,2024-12-01,109,109,11000,0.0578,0.337441387,7,8,5,7.41,0,0.1,"LAWRENC_C",NA,81096,81096,0.431611916740653,81096
"74","1250","4","Lawrence Energy Center","SWPP","KS","ST","April",32224,5936,"Lawrence EC 4","STc200","South West","SPP","KS",1960-01-01,2024-12-01,109,109,11000,0.0578,0.337441387,7,8,5,7.41,0,0.1,"LAWRENC_C",NA,81096,81096,0.397356219788892,81096
"75","1250","4","Lawrence Energy Center","SWPP","KS","ST","May",38501,5936,"Lawrence EC 4","STc200","South West","SPP","KS",1960-01-01,2024-12-01,109,109,11000,0.0578,0.337441387,7,8,5,7.41,0,0.1,"LAWRENC_C",NA,81096,81096,0.474758311137417,81096
"76","1250","4","Lawrence Energy Center","SWPP","KS","ST","June",29088,5936,"Lawrence EC 4","STc200","South West","SPP","KS",1960-01-01,2024-12-01,109,109,11000,0.0578,0.337441387,7,8,5,7.41,0,0.1,"LAWRENC_C",NA,81096,81096,0.358686001775673,81096
"77","1250","4","Lawrence Energy Center","SWPP","KS","ST","July",65806,5936,"Lawrence EC 4","STc200","South West","SPP","KS",1960-01-01,2024-12-01,109,109,11000,0.0578,0.337441387,7,8,5,7.41,0,0.1,"LAWRENC_C",NA,81096,81096,0.811458025056723,81096
"78","1250","4","Lawrence Energy Center","SWPP","KS","ST","August",56410,5936,"Lawrence EC 4","STc200","South West","SPP","KS",1960-01-01,2024-12-01,109,109,11000,0.0578,0.337441387,7,8,5,7.41,0,0.1,"LAWRENC_C",NA,81096,81096,0.695595343790076,81096
"79","1250","4","Lawrence Energy Center","SWPP","KS","ST","September",22400,5936,"Lawrence EC 4","STc200","South West","SPP","KS",1960-01-01,2024-12-01,109,109,11000,0.0578,0.337441387,7,8,5,7.41,0,0.1,"LAWRENC_C",NA,81096,81096,0.276215842951564,81096
"80","1250","4","Lawrence Energy Center","SWPP","KS","ST","October",20397,5936,"Lawrence EC 4","STc200","South West","SPP","KS",1960-01-01,2024-12-01,109,109,11000,0.0578,0.337441387,7,8,5,7.41,0,0.1,"LAWRENC_C",NA,81096,81096,0.25151672092335,81096
"81","1250","5","Lawrence Energy Center","SWPP","KS","ST","January",150311,5937,"Lawrence EC 5","STc+1","South West","SPP","KS",1971-05-01,2024-12-01,374,374,10540,0.116,0.208596037,12,24,5,8.09,0,0.1,"LAWRENC_C",NA,278256,278256,0.540189609568167,278256
"82","1250","5","Lawrence Energy Center","SWPP","KS","ST","February",101964,5937,"Lawrence EC 5","STc+1","South West","SPP","KS",1971-05-01,2024-12-01,374,374,10540,0.116,0.208596037,12,24,5,8.09,0,0.1,"LAWRENC_C",NA,278256,278256,0.36643953769191,278256
"83","1250","5","Lawrence Energy Center","SWPP","KS","ST","March",113610,5937,"Lawrence EC 5","STc+1","South West","SPP","KS",1971-05-01,2024-12-01,374,374,10540,0.116,0.208596037,12,24,5,8.09,0,0.1,"LAWRENC_C",NA,278256,278256,0.408293082628946,278256
"84","1250","5","Lawrence Energy Center","SWPP","KS","ST","April",139053,5937,"Lawrence EC 5","STc+1","South West","SPP","KS",1971-05-01,2024-12-01,374,374,10540,0.116,0.208596037,12,24,5,8.09,0,0.1,"LAWRENC_C",NA,278256,278256,0.499730464033121,278256
"85","1250","5","Lawrence Energy Center","SWPP","KS","ST","May",132298,5937,"Lawrence EC 5","STc+1","South West","SPP","KS",1971-05-01,2024-12-01,374,374,10540,0.116,0.208596037,12,24,5,8.09,0,0.1,"LAWRENC_C",NA,278256,278256,0.475454257949514,278256
"86","1250","5","Lawrence Energy Center","SWPP","KS","ST","June",157394,5937,"Lawrence EC 5","STc+1","South West","SPP","KS",1971-05-01,2024-12-01,374,374,10540,0.116,0.208596037,12,24,5,8.09,0,0.1,"LAWRENC_C",NA,278256,278256,0.56564458628026,278256
"87","1250","5","Lawrence Energy Center","SWPP","KS","ST","July",198389,5937,"Lawrence EC 5","STc+1","South West","SPP","KS",1971-05-01,2024-12-01,374,374,10540,0.116,0.208596037,12,24,5,8.09,0,0.1,"LAWRENC_C",NA,278256,278256,0.712972945776551,278256
"88","1250","5","Lawrence Energy Center","SWPP","KS","ST","August",156407,5937,"Lawrence EC 5","STc+1","South West","SPP","KS",1971-05-01,2024-12-01,374,374,10540,0.116,0.208596037,12,24,5,8.09,0,0.1,"LAWRENC_C",NA,278256,278256,0.562097492956127,278256
"89","1250","5","Lawrence Energy Center","SWPP","KS","ST","September",68293,5937,"Lawrence EC 5","STc+1","South West","SPP","KS",1971-05-01,2024-12-01,374,374,10540,0.116,0.208596037,12,24,5,8.09,0,0.1,"LAWRENC_C",NA,278256,278256,0.245432263814617,278256
"90","1250","5","Lawrence Energy Center","SWPP","KS","ST","October",88287,5937,"Lawrence EC 5","STc+1","South West","SPP","KS",1971-05-01,2024-12-01,374,374,10540,0.116,0.208596037,12,24,5,8.09,0,0.1,"LAWRENC_C",NA,278256,278256,0.317286958771778,278256
"91","165","2","GREC","SWPP","OK","ST","January",126794,5359,"GRDA 2","STc+1","South West","SPP","OK",1986-04-01,2101-01-01,520,520,12102,0.1939,0.343414572,12,24,5,8.09,0,0.1,"GRDA_C",NA,386880,386880,0.327734698097601,386880
"92","165","2","GREC","SWPP","OK","ST","February",163937,5359,"GRDA 2","STc+1","South West","SPP","OK",1986-04-01,2101-01-01,520,520,12102,0.1939,0.343414572,12,24,5,8.09,0,0.1,"GRDA_C",NA,386880,386880,0.423741211745244,386880
"93","165","2","GREC","SWPP","OK","ST","March",201202,5359,"GRDA 2","STc+1","South West","SPP","OK",1986-04-01,2101-01-01,520,520,12102,0.1939,0.343414572,12,24,5,8.09,0,0.1,"GRDA_C",NA,386880,386880,0.520063068651778,386880
"94","165","2","GREC","SWPP","OK","ST","April",0,5359,"GRDA 2","STc+1","South West","SPP","OK",1986-04-01,2101-01-01,520,520,12102,0.1939,0.343414572,12,24,5,8.09,0,0.1,"GRDA_C",NA,386880,386880,0,386880
"95","165","2","GREC","SWPP","OK","ST","May",-3501,5359,"GRDA 2","STc+1","South West","SPP","OK",1986-04-01,2101-01-01,520,520,12102,0.1939,0.343414572,12,24,5,8.09,0,0.1,"GRDA_C",NA,386880,386880,-0.009049317617866,386880
"96","165","2","GREC","SWPP","OK","ST","June",208429,5359,"GRDA 2","STc+1","South West","SPP","OK",1986-04-01,2101-01-01,520,520,12102,0.1939,0.343414572,12,24,5,8.09,0,0.1,"GRDA_C",NA,386880,386880,0.538743279569892,386880
"97","165","2","GREC","SWPP","OK","ST","July",156144,5359,"GRDA 2","STc+1","South West","SPP","OK",1986-04-01,2101-01-01,520,520,12102,0.1939,0.343414572,12,24,5,8.09,0,0.1,"GRDA_C",NA,386880,386880,0.403598014888337,386880
